id,kg,system,latency_ms,row_count,status
PW01,PW,samyama,61.562,10,pass
PW02,PW,samyama,57.926,10,pass
PW03,PW,samyama,56.933,9,pass
PW04,PW,samyama,54.395,1,pass
PW05,PW,samyama,9.724,10,pass
PW06,PW,samyama,84.117,10,pass
PW07,PW,samyama,60.075,10,pass
PW08,PW,samyama,57.632,10,pass
PW09,PW,samyama,75.105,10,pass
PW10,PW,samyama,76.000,10,pass
PW11,PW,samyama,54.820,10,pass
PW12,PW,samyama,224.277,10,pass
PW13,PW,samyama,58.349,10,pass
PW14,PW,samyama,62.124,20,pass
PW15,PW,samyama,64.098,10,pass
DI01,DI,samyama,64.287,10,pass
DI02,DI,samyama,64.262,10,pass
DI03,DI,samyama,64.112,10,pass
DI04,DI,samyama,64.237,10,pass
DI05,DI,samyama,93.543,0,empty
DI06,DI,samyama,53.011,10,pass
DI07,DI,samyama,14.047,10,pass
DI08,DI,samyama,64.371,10,pass
DI09,DI,samyama,65.838,10,pass
DI10,DI,samyama,64.794,10,pass
DI11,DI,samyama,17.115,10,pass
DI12,DI,samyama,812.381,10,pass
DI13,DI,samyama,64.134,10,pass
DI14,DI,samyama,93.716,10,pass
DI15,DI,samyama,89.682,10,pass
CT01,CT,samyama,74.026,10,pass
CT02,CT,samyama,74.036,10,pass
CT03,CT,samyama,74.102,10,pass
CT04,CT,samyama,73.790,10,pass
CT05,CT,samyama,72.919,10,pass
CT06,CT,samyama,72.265,10,pass
CT07,CT,samyama,71.772,10,pass
CT08,CT,samyama,6463.047,15,pass
CT09,CT,samyama,1029.828,15,pass
CT10,CT,samyama,11813.525,15,pass
CT11,CT,samyama,286.070,15,pass
CT12,CT,samyama,102.320,10,pass
CT13,CT,samyama,142.924,10,pass
CT14,CT,samyama,242.041,10,pass
CT15,CT,samyama,4590.988,1,pass
CT16,CT,samyama,219.609,10,pass
CT17,CT,samyama,146.887,10,pass
CT19,CT,samyama,74.006,10,pass
CT20,CT,samyama,5238.873,10,pass
CT21,CT,samyama,828.715,10,pass
HERO,XK,samyama,1411.234,0,empty
XK01,XK,samyama,479.541,0,empty
XK02,XK,samyama,2300.644,0,empty
XK03,XK,samyama,177.797,0,empty
XK04,XK,samyama,1066.729,10,pass
