id,kg,system,latency_ms,row_count,status
PW01,PW,neo4j,2.393,10,pass
PW02,PW,neo4j,1.847,10,pass
PW03,PW,neo4j,2.516,9,pass
PW04,PW,neo4j,1.702,1,pass
PW05,PW,neo4j,24.616,10,pass
PW06,PW,neo4j,61.885,10,pass
PW07,PW,neo4j,2.467,10,pass
PW08,PW,neo4j,2.237,10,pass
PW09,PW,neo4j,2.007,10,pass
PW10,PW,neo4j,2.031,10,pass
PW11,PW,neo4j,2.063,10,pass
PW12,PW,neo4j,2.087,10,pass
PW13,PW,neo4j,1.822,0,empty
PW14,PW,neo4j,2.229,20,pass
PW15,PW,neo4j,2.001,10,pass
DI01,DI,neo4j,1.998,10,pass
DI02,DI,neo4j,2.287,10,pass
DI03,DI,neo4j,2.094,10,pass
DI04,DI,neo4j,2.807,10,pass
DI05,DI,neo4j,1.742,0,empty
DI06,DI,neo4j,48.165,10,pass
DI07,DI,neo4j,24.261,10,pass
DI08,DI,neo4j,2.036,10,pass
DI09,DI,neo4j,1.830,10,pass
DI10,DI,neo4j,1.831,10,pass
DI11,DI,neo4j,10.561,1,pass
DI12,DI,neo4j,9.592,1,pass
DI13,DI,neo4j,2.135,10,pass
DI14,DI,neo4j,1.818,10,pass
DI15,DI,neo4j,2.160,10,pass
CT01,CT,neo4j,1.667,10,pass
CT02,CT,neo4j,2.246,10,pass
CT03,CT,neo4j,2.129,10,pass
CT04,CT,neo4j,2.104,10,pass
CT05,CT,neo4j,2.206,10,pass
CT06,CT,neo4j,1.821,10,pass
CT07,CT,neo4j,2.045,10,pass
CT08,CT,neo4j,1667.270,15,pass
CT09,CT,neo4j,810.580,15,pass
CT10,CT,neo4j,2593.651,15,pass
CT11,CT,neo4j,432.139,15,pass
CT12,CT,neo4j,183.897,10,pass
CT13,CT,neo4j,21.939,10,pass
CT14,CT,neo4j,44.365,10,pass
CT15,CT,neo4j,626.756,1,pass
CT16,CT,neo4j,42.956,10,pass
CT17,CT,neo4j,16.664,10,pass
CT19,CT,neo4j,2.264,10,pass
CT20,CT,neo4j,511.191,10,pass
CT21,CT,neo4j,195.302,10,pass
HERO,XK,neo4j,7.171,0,empty
XK01,XK,neo4j,1.332,0,empty
XK02,XK,neo4j,39.671,0,empty
XK03,XK,neo4j,36.706,0,empty
XK04,XK,neo4j,106.042,10,pass
