id,kg,system,latency_ms,row_count,status
PW01,PW,samyama,61.257,10,pass
PW02,PW,samyama,60.040,10,pass
PW03,PW,samyama,59.332,9,pass
PW04,PW,samyama,57.111,1,pass
PW05,PW,samyama,11.408,10,pass
PW06,PW,samyama,86.613,10,pass
PW07,PW,samyama,60.016,10,pass
PW08,PW,samyama,58.906,10,pass
PW09,PW,samyama,77.309,10,pass
PW10,PW,samyama,76.615,10,pass
PW11,PW,samyama,56.882,10,pass
PW12,PW,samyama,218.980,10,pass
PW13,PW,samyama,56.666,10,pass
PW14,PW,samyama,57.077,20,pass
PW15,PW,samyama,55.712,10,pass
DI01,DI,samyama,55.763,10,pass
DI02,DI,samyama,55.426,10,pass
DI03,DI,samyama,55.241,10,pass
DI04,DI,samyama,55.048,10,pass
DI05,DI,samyama,79.460,0,empty
DI06,DI,samyama,50.461,10,pass
DI07,DI,samyama,16.938,10,pass
DI08,DI,samyama,56.786,10,pass
DI09,DI,samyama,56.748,10,pass
DI10,DI,samyama,54.901,10,pass
DI11,DI,samyama,14.227,1,pass
DI12,DI,samyama,642.431,1,pass
DI13,DI,samyama,61.555,10,pass
DI14,DI,samyama,82.950,10,pass
DI15,DI,samyama,83.505,10,pass
CT01,CT,samyama,66.895,10,pass
CT02,CT,samyama,66.484,10,pass
CT03,CT,samyama,66.163,10,pass
CT04,CT,samyama,65.946,10,pass
CT05,CT,samyama,65.723,10,pass
CT06,CT,samyama,65.500,10,pass
CT07,CT,samyama,65.229,10,pass
CT08,CT,samyama,4699.858,15,pass
CT09,CT,samyama,1694.596,15,pass
CT10,CT,samyama,8825.342,15,pass
CT11,CT,samyama,380.593,15,pass
CT12,CT,samyama,133.051,10,pass
CT13,CT,samyama,134.714,10,pass
CT14,CT,samyama,220.625,10,pass
CT15,CT,samyama,4552.975,1,pass
CT16,CT,samyama,199.412,10,pass
CT17,CT,samyama,123.198,10,pass
CT19,CT,samyama,69.521,10,pass
CT20,CT,samyama,4474.493,10,pass
CT21,CT,samyama,705.304,10,pass
HERO,XK,samyama,1345.923,0,empty
XK01,XK,samyama,475.008,0,empty
XK02,XK,samyama,2506.670,0,empty
XK03,XK,samyama,174.701,0,empty
XK04,XK,samyama,1168.217,10,pass
