id,kg,system,latency_ms,row_count,status
PW01,PW,neo4j,2.434,10,pass
PW02,PW,neo4j,2.274,10,pass
PW03,PW,neo4j,2.659,9,pass
PW04,PW,neo4j,2.146,1,pass
PW05,PW,neo4j,30.293,10,pass
PW06,PW,neo4j,76.313,10,pass
PW07,PW,neo4j,3.038,10,pass
PW08,PW,neo4j,2.054,10,pass
PW09,PW,neo4j,2.155,10,pass
PW10,PW,neo4j,2.327,10,pass
PW11,PW,neo4j,2.351,10,pass
PW12,PW,neo4j,2.501,10,pass
PW13,PW,neo4j,2.128,0,empty
PW14,PW,neo4j,2.645,20,pass
PW15,PW,neo4j,2.625,10,pass
DI01,DI,neo4j,2.629,10,pass
DI02,DI,neo4j,2.322,10,pass
DI03,DI,neo4j,2.245,10,pass
DI04,DI,neo4j,4.080,10,pass
DI05,DI,neo4j,1.877,0,empty
DI06,DI,neo4j,58.332,10,pass
DI07,DI,neo4j,28.584,10,pass
DI08,DI,neo4j,2.451,10,pass
DI09,DI,neo4j,2.517,10,pass
DI10,DI,neo4j,2.424,10,pass
DI11,DI,neo4j,12.972,1,pass
DI12,DI,neo4j,10.962,1,pass
DI13,DI,neo4j,2.240,10,pass
DI14,DI,neo4j,2.261,10,pass
DI15,DI,neo4j,3.134,10,pass
CT01,CT,neo4j,2.026,10,pass
CT02,CT,neo4j,2.177,10,pass
CT03,CT,neo4j,2.682,10,pass
CT04,CT,neo4j,2.438,10,pass
CT05,CT,neo4j,1.995,10,pass
CT06,CT,neo4j,2.334,10,pass
CT07,CT,neo4j,2.388,10,pass
CT08,CT,neo4j,2160.484,15,pass
CT09,CT,neo4j,1008.978,15,pass
CT10,CT,neo4j,3029.349,15,pass
CT11,CT,neo4j,534.664,15,pass
CT12,CT,neo4j,322.746,10,pass
CT13,CT,neo4j,31.532,10,pass
CT14,CT,neo4j,59.109,10,pass
CT15,CT,neo4j,859.777,1,pass
CT16,CT,neo4j,56.981,10,pass
CT17,CT,neo4j,24.221,10,pass
CT19,CT,neo4j,2.668,10,pass
CT20,CT,neo4j,633.414,10,pass
CT21,CT,neo4j,230.027,10,pass
HERO,XK,neo4j,12.064,0,empty
XK01,XK,neo4j,2.448,0,empty
XK02,XK,neo4j,48.985,0,empty
XK03,XK,neo4j,38.337,0,empty
XK04,XK,neo4j,127.356,10,pass
