id,kg,system,latency_ms,row_count,status
PW01,PW,neo4j,2.260,10,pass
PW02,PW,neo4j,1.808,10,pass
PW03,PW,neo4j,2.714,9,pass
PW04,PW,neo4j,2.186,1,pass
PW05,PW,neo4j,28.011,10,pass
PW06,PW,neo4j,68.096,10,pass
PW07,PW,neo4j,3.041,10,pass
PW08,PW,neo4j,2.215,10,pass
PW09,PW,neo4j,2.191,10,pass
PW10,PW,neo4j,2.348,10,pass
PW11,PW,neo4j,2.506,10,pass
PW12,PW,neo4j,2.210,10,pass
PW13,PW,neo4j,1.996,0,empty
PW14,PW,neo4j,2.341,20,pass
PW15,PW,neo4j,1.293,10,pass
DI01,DI,neo4j,2.014,10,pass
DI02,DI,neo4j,2.321,10,pass
DI03,DI,neo4j,2.298,10,pass
DI04,DI,neo4j,3.210,10,pass
DI05,DI,neo4j,2.142,0,empty
DI06,DI,neo4j,51.250,10,pass
DI07,DI,neo4j,26.327,10,pass
DI08,DI,neo4j,2.372,10,pass
DI09,DI,neo4j,2.134,10,pass
DI10,DI,neo4j,2.211,10,pass
DI11,DI,neo4j,11.388,1,pass
DI12,DI,neo4j,10.132,1,pass
DI13,DI,neo4j,2.297,10,pass
DI14,DI,neo4j,2.235,10,pass
DI15,DI,neo4j,2.644,10,pass
CT01,CT,neo4j,2.306,10,pass
CT02,CT,neo4j,2.083,10,pass
CT03,CT,neo4j,2.438,10,pass
CT04,CT,neo4j,2.316,10,pass
CT05,CT,neo4j,2.201,10,pass
CT06,CT,neo4j,2.120,10,pass
CT07,CT,neo4j,2.168,10,pass
CT08,CT,neo4j,1874.866,15,pass
CT09,CT,neo4j,956.110,15,pass
CT10,CT,neo4j,2877.664,15,pass
CT11,CT,neo4j,561.931,15,pass
CT12,CT,neo4j,261.152,10,pass
CT13,CT,neo4j,26.105,10,pass
CT14,CT,neo4j,51.031,10,pass
CT15,CT,neo4j,717.737,1,pass
CT16,CT,neo4j,39.645,10,pass
CT17,CT,neo4j,18.713,10,pass
CT19,CT,neo4j,2.434,10,pass
CT20,CT,neo4j,544.806,10,pass
CT21,CT,neo4j,202.785,10,pass
HERO,XK,neo4j,9.180,0,empty
XK01,XK,neo4j,2.206,0,empty
XK02,XK,neo4j,42.604,0,empty
XK03,XK,neo4j,39.256,0,empty
XK04,XK,neo4j,109.810,10,pass
