id,kg,system,latency_ms,row_count,status
PW01,PW,samyama,0.507,10,pass
PW02,PW,samyama,0.795,10,pass
PW03,PW,samyama,1.062,9,pass
PW04,PW,samyama,0.007,1,pass
PW05,PW,samyama,10.714,10,pass
PW06,PW,samyama,71.514,10,pass
PW07,PW,samyama,0.063,10,pass
PW08,PW,samyama,0.505,10,pass
PW09,PW,samyama,19.254,10,pass
PW10,PW,samyama,19.440,10,pass
PW11,PW,samyama,0.035,10,pass
PW12,PW,samyama,165.402,10,pass
PW13,PW,samyama,0.156,10,pass
PW14,PW,samyama,0.978,20,pass
PW15,PW,samyama,0.047,10,pass
DI01,DI,samyama,0.347,10,pass
DI02,DI,samyama,0.308,10,pass
DI03,DI,samyama,0.312,10,pass
DI04,DI,samyama,0.313,10,pass
DI05,DI,samyama,23.289,0,empty
DI06,DI,samyama,44.976,10,pass
DI07,DI,samyama,16.063,10,pass
DI08,DI,samyama,0.357,10,pass
DI09,DI,samyama,1.540,10,pass
DI10,DI,samyama,0.144,10,pass
DI11,DI,samyama,10.191,1,pass
DI12,DI,samyama,581.741,1,pass
DI13,DI,samyama,0.033,10,pass
DI14,DI,samyama,23.384,10,pass
DI15,DI,samyama,25.456,10,pass
CT01,CT,samyama,9.038,10,pass
CT02,CT,samyama,9.068,10,pass
CT03,CT,samyama,9.082,10,pass
CT04,CT,samyama,9.091,10,pass
CT05,CT,samyama,9.069,10,pass
CT06,CT,samyama,9.064,10,pass
CT07,CT,samyama,9.095,10,pass
CT08,CT,samyama,4884.686,15,pass
CT09,CT,samyama,2124.485,15,pass
CT10,CT,samyama,9598.267,15,pass
CT11,CT,samyama,491.086,15,pass
CT12,CT,samyama,157.857,10,pass
CT13,CT,samyama,82.606,10,pass
CT14,CT,samyama,170.103,10,pass
CT15,CT,samyama,4829.689,1,pass
CT16,CT,samyama,151.145,10,pass
CT17,CT,samyama,72.967,10,pass
CT19,CT,samyama,9.162,10,pass
CT20,CT,samyama,4792.521,10,pass
CT21,CT,samyama,711.395,10,pass
HERO,XK,samyama,1280.629,0,empty
XK01,XK,samyama,359.606,0,empty
XK02,XK,samyama,2446.908,0,empty
XK03,XK,samyama,53.443,0,empty
XK04,XK,samyama,1078.064,10,pass
