id,kg,system,latency_ms,row_count,status
PW01,PW,samyama,61.472,10,pass
PW02,PW,samyama,59.598,10,pass
PW03,PW,samyama,57.977,9,pass
PW04,PW,samyama,55.793,1,pass
PW05,PW,samyama,11.353,10,pass
PW06,PW,samyama,83.301,10,pass
PW07,PW,samyama,59.235,10,pass
PW08,PW,samyama,58.040,10,pass
PW09,PW,samyama,75.799,10,pass
PW10,PW,samyama,74.006,10,pass
PW11,PW,samyama,54.104,10,pass
PW12,PW,samyama,218.394,10,pass
PW13,PW,samyama,55.548,10,pass
PW14,PW,samyama,54.926,20,pass
PW15,PW,samyama,53.312,10,pass
DI01,DI,samyama,53.384,10,pass
DI02,DI,samyama,52.953,10,pass
DI03,DI,samyama,53.289,10,pass
DI04,DI,samyama,52.890,10,pass
DI05,DI,samyama,79.811,0,empty
DI06,DI,samyama,49.935,10,pass
DI07,DI,samyama,16.939,10,pass
DI08,DI,samyama,57.300,10,pass
DI09,DI,samyama,56.672,10,pass
DI10,DI,samyama,54.483,10,pass
DI11,DI,samyama,13.953,1,pass
DI12,DI,samyama,649.049,1,pass
DI13,DI,samyama,61.321,10,pass
DI14,DI,samyama,82.717,10,pass
DI15,DI,samyama,81.473,10,pass
CT01,CT,samyama,65.469,10,pass
CT02,CT,samyama,64.805,10,pass
CT03,CT,samyama,64.262,10,pass
CT04,CT,samyama,64.056,10,pass
CT05,CT,samyama,67.982,10,pass
CT06,CT,samyama,68.413,10,pass
CT07,CT,samyama,71.033,10,pass
CT08,CT,samyama,5291.419,15,pass
CT09,CT,samyama,1762.194,15,pass
CT10,CT,samyama,10929.071,15,pass
CT11,CT,samyama,387.536,15,pass
CT12,CT,samyama,137.042,10,pass
CT13,CT,samyama,135.893,10,pass
CT14,CT,samyama,228.136,10,pass
CT15,CT,samyama,4383.331,1,pass
CT16,CT,samyama,197.144,10,pass
CT17,CT,samyama,122.063,10,pass
CT19,CT,samyama,69.151,10,pass
CT20,CT,samyama,4449.829,10,pass
CT21,CT,samyama,700.593,10,pass
HERO,XK,samyama,1331.525,0,empty
XK01,XK,samyama,474.564,0,empty
XK02,XK,samyama,2428.958,0,empty
XK03,XK,samyama,172.527,0,empty
XK04,XK,samyama,1058.386,10,pass
