id,kg,system,latency_ms,row_count,status
PW01,PW,neo4j,1.935,10,pass
PW02,PW,neo4j,2.036,10,pass
PW03,PW,neo4j,2.321,9,pass
PW04,PW,neo4j,1.694,1,pass
PW05,PW,neo4j,25.514,10,pass
PW06,PW,neo4j,62.193,10,pass
PW07,PW,neo4j,2.100,10,pass
PW08,PW,neo4j,1.567,10,pass
PW09,PW,neo4j,1.508,10,pass
PW10,PW,neo4j,1.589,10,pass
PW11,PW,neo4j,1.488,10,pass
PW12,PW,neo4j,1.630,10,pass
PW13,PW,neo4j,1.381,0,empty
PW14,PW,neo4j,1.749,20,pass
PW15,PW,neo4j,1.486,10,pass
DI01,DI,neo4j,1.570,10,pass
DI02,DI,neo4j,1.564,10,pass
DI03,DI,neo4j,1.501,10,pass
DI04,DI,neo4j,2.515,10,pass
DI05,DI,neo4j,1.254,0,empty
DI06,DI,neo4j,48.622,10,pass
DI07,DI,neo4j,23.614,10,pass
DI08,DI,neo4j,1.479,10,pass
DI09,DI,neo4j,1.484,10,pass
DI10,DI,neo4j,1.339,10,pass
DI11,DI,neo4j,10.519,1,pass
DI12,DI,neo4j,8.958,1,pass
DI13,DI,neo4j,1.548,10,pass
DI14,DI,neo4j,1.432,10,pass
DI15,DI,neo4j,1.814,10,pass
CT01,CT,neo4j,1.309,10,pass
CT02,CT,neo4j,1.620,10,pass
CT03,CT,neo4j,1.717,10,pass
CT04,CT,neo4j,1.319,10,pass
CT05,CT,neo4j,1.481,10,pass
CT06,CT,neo4j,1.521,10,pass
CT07,CT,neo4j,1.544,10,pass
CT08,CT,neo4j,1665.703,15,pass
CT09,CT,neo4j,807.786,15,pass
CT10,CT,neo4j,2606.716,15,pass
CT11,CT,neo4j,420.551,15,pass
CT12,CT,neo4j,182.319,10,pass
CT13,CT,neo4j,22.201,10,pass
CT14,CT,neo4j,44.542,10,pass
CT15,CT,neo4j,625.391,1,pass
CT16,CT,neo4j,46.240,10,pass
CT17,CT,neo4j,16.463,10,pass
CT19,CT,neo4j,2.083,10,pass
CT20,CT,neo4j,561.904,10,pass
CT21,CT,neo4j,197.904,10,pass
HERO,XK,neo4j,7.396,0,empty
XK01,XK,neo4j,1.867,0,empty
XK02,XK,neo4j,41.000,0,empty
XK03,XK,neo4j,31.047,0,empty
XK04,XK,neo4j,107.463,10,pass
