id,kg,system,latency_ms,row_count,status
PW01,PW,samyama,0.504,10,pass
PW02,PW,samyama,0.800,10,pass
PW03,PW,samyama,1.025,9,pass
PW04,PW,samyama,0.006,1,pass
PW05,PW,samyama,4.766,10,pass
PW06,PW,samyama,36.856,10,pass
PW07,PW,samyama,0.060,10,pass
PW08,PW,samyama,0.505,10,pass
PW09,PW,samyama,19.317,10,pass
PW10,PW,samyama,19.186,10,pass
PW11,PW,samyama,0.039,10,pass
PW12,PW,samyama,162.126,10,pass
PW13,PW,samyama,0.155,10,pass
PW14,PW,samyama,0.967,20,pass
PW15,PW,samyama,0.047,10,pass
DI01,DI,samyama,0.336,10,pass
DI02,DI,samyama,0.307,10,pass
DI03,DI,samyama,0.319,10,pass
DI04,DI,samyama,0.305,10,pass
DI05,DI,samyama,23.089,0,empty
DI06,DI,samyama,35.104,10,pass
DI07,DI,samyama,9.854,10,pass
DI08,DI,samyama,0.342,10,pass
DI09,DI,samyama,1.549,10,pass
DI10,DI,samyama,0.153,10,pass
DI11,DI,samyama,1.698,1,pass
DI12,DI,samyama,87.174,1,pass
DI13,DI,samyama,0.035,10,pass
DI14,DI,samyama,23.095,10,pass
DI15,DI,samyama,24.463,10,pass
CT01,CT,samyama,8.990,10,pass
CT02,CT,samyama,8.943,10,pass
CT03,CT,samyama,8.955,10,pass
CT04,CT,samyama,8.939,10,pass
CT05,CT,samyama,8.929,10,pass
CT06,CT,samyama,8.955,10,pass
CT07,CT,samyama,8.935,10,pass
CT08,CT,samyama,694.926,15,pass
CT09,CT,samyama,1816.509,15,pass
CT10,CT,samyama,618.336,15,pass
CT11,CT,samyama,381.863,15,pass
CT12,CT,samyama,100.032,10,pass
CT13,CT,samyama,72.046,10,pass
CT14,CT,samyama,157.114,10,pass
CT15,CT,samyama,590.364,1,pass
CT16,CT,samyama,132.264,10,pass
CT17,CT,samyama,57.488,10,pass
CT19,CT,samyama,9.014,10,pass
CT20,CT,samyama,516.744,10,pass
CT21,CT,samyama,621.894,10,pass
HERO,XK,samyama,1165.912,0,empty
XK01,XK,samyama,354.035,0,empty
XK02,XK,samyama,2314.890,0,empty
XK03,XK,samyama,49.447,0,empty
XK04,XK,samyama,974.652,10,pass
