id,kg,system,latency_ms,row_count,status
PW01,PW,samyama,0.517,10,pass
PW02,PW,samyama,0.826,10,pass
PW03,PW,samyama,1.066,9,pass
PW04,PW,samyama,0.006,1,pass
PW05,PW,samyama,10.689,10,pass
PW06,PW,samyama,86.267,10,pass
PW07,PW,samyama,0.066,10,pass
PW08,PW,samyama,0.518,10,pass
PW09,PW,samyama,18.825,10,pass
PW10,PW,samyama,18.949,10,pass
PW11,PW,samyama,0.036,10,pass
PW12,PW,samyama,164.160,10,pass
PW13,PW,samyama,0.157,10,pass
PW14,PW,samyama,1.012,20,pass
PW15,PW,samyama,0.049,10,pass
DI01,DI,samyama,0.337,10,pass
DI02,DI,samyama,0.319,10,pass
DI03,DI,samyama,0.326,10,pass
DI04,DI,samyama,0.302,10,pass
DI05,DI,samyama,25.967,0,empty
DI06,DI,samyama,65.141,10,pass
DI07,DI,samyama,17.010,10,pass
DI08,DI,samyama,0.355,10,pass
DI09,DI,samyama,1.570,10,pass
DI10,DI,samyama,0.161,10,pass
DI11,DI,samyama,11.369,1,pass
DI12,DI,samyama,675.561,1,pass
DI13,DI,samyama,0.035,10,pass
DI14,DI,samyama,25.256,10,pass
DI15,DI,samyama,24.398,10,pass
CT01,CT,samyama,9.260,10,pass
CT02,CT,samyama,9.208,10,pass
CT03,CT,samyama,9.201,10,pass
CT04,CT,samyama,9.160,10,pass
CT05,CT,samyama,9.139,10,pass
CT06,CT,samyama,9.144,10,pass
CT07,CT,samyama,9.101,10,pass
CT08,CT,samyama,959.381,15,pass
CT09,CT,samyama,2288.268,15,pass
CT10,CT,samyama,1369.489,15,pass
CT11,CT,samyama,564.965,15,pass
CT12,CT,samyama,203.558,10,pass
CT13,CT,samyama,91.876,10,pass
CT14,CT,samyama,183.897,10,pass
CT15,CT,samyama,4863.320,1,pass
CT16,CT,samyama,150.424,10,pass
CT17,CT,samyama,80.289,10,pass
CT19,CT,samyama,9.363,10,pass
CT20,CT,samyama,5078.961,10,pass
CT21,CT,samyama,775.200,10,pass
HERO,XK,samyama,1310.680,0,empty
XK01,XK,samyama,359.397,0,empty
XK02,XK,samyama,2466.294,0,empty
XK03,XK,samyama,65.444,0,empty
XK04,XK,samyama,1039.131,10,pass
