id,kg,system,latency_ms,row_count,status
PW01,PW,samyama,0.506,10,pass
PW02,PW,samyama,0.824,10,pass
PW03,PW,samyama,1.008,9,pass
PW04,PW,samyama,0.006,1,pass
PW05,PW,samyama,4.763,10,pass
PW06,PW,samyama,37.915,10,pass
PW07,PW,samyama,0.058,10,pass
PW08,PW,samyama,0.502,10,pass
PW09,PW,samyama,18.930,10,pass
PW10,PW,samyama,18.880,10,pass
PW11,PW,samyama,0.035,10,pass
PW12,PW,samyama,161.948,10,pass
PW13,PW,samyama,0.155,10,pass
PW14,PW,samyama,0.995,20,pass
PW15,PW,samyama,0.049,10,pass
DI01,DI,samyama,0.325,10,pass
DI02,DI,samyama,0.303,10,pass
DI03,DI,samyama,0.311,10,pass
DI04,DI,samyama,0.307,10,pass
DI05,DI,samyama,22.819,0,empty
DI06,DI,samyama,35.298,10,pass
DI07,DI,samyama,9.981,10,pass
DI08,DI,samyama,0.340,10,pass
DI09,DI,samyama,1.551,10,pass
DI10,DI,samyama,0.150,10,pass
DI11,DI,samyama,1.707,1,pass
DI12,DI,samyama,91.071,1,pass
DI13,DI,samyama,0.035,10,pass
DI14,DI,samyama,22.859,10,pass
DI15,DI,samyama,23.697,10,pass
CT01,CT,samyama,9.051,10,pass
CT02,CT,samyama,8.887,10,pass
CT03,CT,samyama,8.914,10,pass
CT04,CT,samyama,8.903,10,pass
CT05,CT,samyama,8.913,10,pass
CT06,CT,samyama,8.880,10,pass
CT07,CT,samyama,8.896,10,pass
CT08,CT,samyama,701.324,15,pass
CT09,CT,samyama,1855.475,15,pass
CT10,CT,samyama,628.177,15,pass
CT11,CT,samyama,388.660,15,pass
CT12,CT,samyama,101.744,10,pass
CT13,CT,samyama,72.464,10,pass
CT14,CT,samyama,159.300,10,pass
CT15,CT,samyama,4285.053,1,pass
CT16,CT,samyama,136.923,10,pass
CT17,CT,samyama,59.171,10,pass
CT19,CT,samyama,9.003,10,pass
CT20,CT,samyama,4376.700,10,pass
CT21,CT,samyama,635.353,10,pass
HERO,XK,samyama,1186.561,0,empty
XK01,XK,samyama,351.283,0,empty
XK02,XK,samyama,2285.620,0,empty
XK03,XK,samyama,49.923,0,empty
XK04,XK,samyama,939.456,10,pass
