id,kg,system,latency_ms,row_count,status
PW01,PW,samyama,0.592,10,pass
PW02,PW,samyama,0.928,10,pass
PW03,PW,samyama,1.192,9,pass
PW04,PW,samyama,0.006,1,pass
PW05,PW,samyama,5.219,10,pass
PW06,PW,samyama,45.694,10,pass
PW07,PW,samyama,0.075,10,pass
PW08,PW,samyama,0.583,10,pass
PW09,PW,samyama,22.300,10,pass
PW10,PW,samyama,22.248,10,pass
PW11,PW,samyama,0.047,10,pass
PW12,PW,samyama,173.218,10,pass
PW13,PW,samyama,0.190,10,pass
PW14,PW,samyama,1.115,20,pass
PW15,PW,samyama,0.055,10,pass
DI01,DI,samyama,0.389,10,pass
DI02,DI,samyama,0.359,10,pass
DI03,DI,samyama,0.369,10,pass
DI04,DI,samyama,0.363,10,pass
DI05,DI,samyama,27.316,0,empty
DI06,DI,samyama,45.697,10,pass
DI07,DI,samyama,15.660,10,pass
DI08,DI,samyama,0.392,10,pass
DI09,DI,samyama,1.698,10,pass
DI10,DI,samyama,0.175,10,pass
DI11,DI,samyama,4.707,1,pass
DI12,DI,samyama,96.393,1,pass
DI13,DI,samyama,0.039,10,pass
DI14,DI,samyama,27.739,10,pass
DI15,DI,samyama,28.880,10,pass
CT01,CT,samyama,10.787,10,pass
CT02,CT,samyama,10.434,10,pass
CT03,CT,samyama,10.422,10,pass
CT04,CT,samyama,10.372,10,pass
CT05,CT,samyama,10.408,10,pass
CT06,CT,samyama,10.467,10,pass
CT07,CT,samyama,10.378,10,pass
CT08,CT,samyama,750.397,15,pass
CT09,CT,samyama,2156.728,15,pass
CT10,CT,samyama,773.297,15,pass
CT11,CT,samyama,491.965,15,pass
CT12,CT,samyama,148.024,10,pass
CT13,CT,samyama,91.454,10,pass
CT14,CT,samyama,182.982,10,pass
CT15,CT,samyama,641.846,1,pass
CT16,CT,samyama,156.236,10,pass
CT17,CT,samyama,74.856,10,pass
CT19,CT,samyama,10.650,10,pass
CT20,CT,samyama,5916.746,10,pass
CT21,CT,samyama,824.597,10,pass
HERO,XK,samyama,1409.271,0,empty
XK01,XK,samyama,415.938,0,empty
XK02,XK,samyama,2761.194,0,empty
XK03,XK,samyama,66.977,0,empty
XK04,XK,samyama,1182.392,10,pass
